Context,Response,textblob_sentiment,textblob_polarity,textblob_subjectivity,transformer_sentiment,transformer_score
"I think having a support community will bring encouragement and motivation that I need in the challenge time. They will understand the difficulties that I encounter and can share my own experiences, give instructions and deep understanding that can help me overcome obstacles. Together, we can create a nurturing environment, where dreams can flourish.",Good to say. A community that always supports and supports your dreams will definitely provide valuable guidelines and encouragement throughout your journey. It seems that setting up this support network is a step forward in turning your dreams into reality. How do you feel when performing these steps?,positive,0.18333333333333332,0.4666666666666666,POSITIVE,0.9997716546058655
"It has been a few months since I lost my job and I felt like the whole world was closed with me. Without a stable income, I was worried about how to pay my bills, not to mention the resolution of my pain. Everything kept piling up and I didn't know how to solve it.",That sounds extremely challenging. Facing the pain that has exhausted emotions and increased stress due to financial instability can make things worse. Can you share with me how sad and financial difficulties are interwoven?,neutral,-0.03333333333333333,0.19999999999999998,,
It sounds a kind approach. I will definitely express my gratitude and reassure them that their friendship is still important to me during this process. Thank you for your instructions so far.,"Nothing. Remember, personal development and independence is a continuous journey. Be patient with yourself and your friends when you navigate these changes. Do not hesitate to contact for assistance whenever you need it. Is there anything else you want to discuss today?",positive,0.275,0.85,POSITIVE,0.9998213648796082
Sure. She had to face chronic and tired pain. It has affected her daily life and our future plan. I just want to see her happy and healthy.,I can understand your concern. It seems that her health is affecting both of you. Did you cope with these challenges and support her?,positive,0.2333333333333333,0.5356481481481481,,
"Yes, I have noticed positive changes. Although there are ups and downs, but in general I feel that I am more focused and hope. Participating in myself has allowed me to create a solid foundation for my healing journey. I began to believe that happiness was possible even after breaking.","It was a great progress. It is important to admit and celebrate these positive changes. Remember, healing takes time, and failures are a natural part of the process. Is there anything specifically you want to explore or work in our sessions to support your healing and development?",positive,0.24621212121212122,0.4742424242424243,,
"I didn't even know where to start. Recently I felt very shocked and isolated. Just like everything I dreamed of finally happened, however, I couldn't help but feel this extremely lonely feeling.",Thank you for sharing that. It seems that now you are experiencing mixed emotions. Can you tell me more about dreams that have come true? What are you craving?,negative,-0.25249999999999995,0.7375,,
It sounds great. I think that having an organized art class will motivate me to really spend time with it and not to spend all my energy.,"Excellent. Looking for an organized hobby, such as art classes, can really bring a healthy balance. It is important that you take care of yourself and allow yourself to stop working. By nurturing your creative ability, you will be better equipped to handle stresses related to work. Start looking for some art classes in your area. How does it sound?",positive,0.5,0.475,,
"I was really shocked by what just happened! It feels like a dream has become a reality, but at the same time, I cannot help but feel dependent on this success.","Oh, it seems that something important has happened in your life. I was curious to know more about this experience. What happened that makes you feel shocked and dependent?",negative,-0.19166666666666665,0.30833333333333335,,
"I really didn't think about talking to them about that. I have suppressed these emotions, afraid to sound bitter or frustrated.",Expressing your emotions and concerns in a respectable and honest way can help reduce the jealousy that you are experiencing. It can open up opportunities for you to collaborate and learn from the success of colleagues.,negative,-0.15999999999999998,0.44000000000000006,,
I haven't thought of that yet. But now when it comes to seeing a colleague seems approachable. I think it would be helpful to share with them what I had experienced and its impact on my work.,"It is a great idea. Sharing your emotions and experiences not only reduces the emotional burden, but also can create opportunities to receive support and understanding from those around you. Remember, you don't face this pain alone.",positive,0.8,0.9,,
", there are many things that are happening in my life. The work requires rigorous and I feel that I have a lot of expectations to meet. Above all, I tried to maintain my friendship and keep up with my family, but that was becoming too much. It seems that I can't find the right balance anymore.",It is not easy to have too many things on your plate. It is completely understandable for it to affect your personal relationships. How does this pressure show in your interaction with others?,positive,0.2871428571428571,0.43714285714285717,,
"To be honest, I just want us to come back as before. I miss laughter, support and feel stable to my family. It would be a dream that came true if there was it again.","It can be understood that you long for the connection and harmony you have ever had. Thinking about your reality your reality, what steps you think you can take to rebuild your relationship with your family?",positive,0.31666666666666665,0.5166666666666667,,
"Yes, there are times when I feel sad and angry deeply. I often feel immersed in the past, recalling memories and wondering what happened. After that, the thoughts about the future made me scared and uncertain. I like losing faith in love.",The emotions you are experiencing are valuable. Heartbreaking can shake belief in love and make us feel vulnerable. Allows yourself to experience all these emotions because it is a natural part of the healing process. How did your close relationships and support system help you overcome this pain?,negative,-0.125,0.5625,,
I think it would be helpful to explore these beliefs and insecurity. Understanding the source of anxiety and lack of trust can help me challenge those negative thoughts and build a healthier image.,"It sounds a great starting point. Discovering the source of worries and trust may bring deep insights on your experience and beliefs. It requires hurt and courage, but I believe in your strength to guide this journey. Are you ready to go deeper into this discovery?",negative,-0.3,0.4,POSITIVE,0.9725710153579712
"I found the empty bottles hidden in his car, and sometimes I saw him glide quickly on social networks as if he could not stop. I think he drank excessive alcohol and could even use drugs.",It is important to approach this situation sensitive and knowledgeable. Did you consider talking to him about your worries when both of them were calm and had time to be interrupted together?,negative,-0.12083333333333333,0.475,,
I can put the reminder on my phone or use the calendar to track my process. Can even find a friend with the same hobby to encourage each other and be responsible.,"Great idea! Having a supporting system can significantly improve the opportunity to stick with your habits. Remember, taking care of yourself is not a luxury; That is essential for your health. Is there any other aspect of stress related to the work you want to discuss?",neutral,0.025000000000000005,0.35000000000000003,,
It was painful ... I felt like I was being bullied by my own thoughts.,", I'm here to listen and support you. Can you tell me more about the meaning of you saying the feeling of being bullied by your thoughts?",neutral,-0.04999999999999999,0.95,,
"I feel a blend of excitement and fear. Glad that it was the dream that I had cherished for so long, and feared because I was worried about showing weaknesses and being judged. But in the depths, I know that is what I need to pursue if I want to find real healing and live a full life.",Absolutely normal when feeling a variety of emotions when approaching something meaningful and vulnerable as writing a book. The combination of excitement and fear shows your true development desire and the desire to share your story honestly. We will develop strategies together to help you solve those concerns and overcome all obstacles on the way. Do you want to discuss or share anything else about your dream?,positive,0.22727272727272724,0.55,,
We tried but finally felt like we were walking on the eggshell. It is difficult to communicate when there is too much stress in the air.,The tension that you are describing can be extremely difficult to navigate. It is important to create a safe space for an open dialogue in any relationship. Is there anything specific in your mind that you can contribute to the relationship between you and your wife stress?,neutral,-0.09999999999999999,0.7333333333333334,NEGATIVE,0.9991011619567871
I think we have mentioned a lot of things. Thank you for guiding me through this conversation. It really helps me to ponder and appreciate the interesting journey waiting for me. I feel empowered and ready to receive this new chapter of my life.,"Nothing. I am very pleased to be here for you. Remember, whenever you need someone to chat or share your excitement, just text me. Wish you all the best on your interesting journey!",positive,0.25909090909090904,0.41363636363636364,,
"It was a good question. For me, trust and loyalty are the foundation in any friendship. I appreciate having someone I can be by my side, a person who accepts my true self. Humor is also very important for me, because laughter is always a great way for me to connect with others.","Thank you for sharing those qualities. The trust, loyalty and acceptance are really important in any friendship. It seems that the ability to share laughter also plays an important role in your relationships. Considering those qualities, how are you approaching to meet new people and evaluate whether they have the potential to become close friends?",positive,0.5925,0.75,,
Not now. Thank you for giving me a safe space to talk about these issues. Rest assured to know that I have a support person when stress related to work becomes too much.,"Nothing. I'm here for you whenever you need it. Remember, you have the strength to overcome this challenging stage. Please respect yourself and next time please continue our conversation.",positive,0.2333333333333333,0.3666666666666667,,
"You absolutely right. Sometimes I forget that my value is not only associated with my work. In addition to work, I value my relationships and kindness that I try to spread to the world. I appreciate the way I guarantee my mental and physical health care.",It is great to hear that. It is important to nurture the sense of self -value outside the field of work in maintaining healthy self -esteem. Is there any specific activity or interests that bring you joy and help you feel more stable?,neutral,0.04642857142857142,0.4696428571428571,,
I think the first step will eliminate the need for confirmation from the outside. I need to focus on my own health and prioritize my recovery journey. Surrounding myself with a network of supporting and searching therapy is also very important for guidance and responsibility.,"Those are great first steps. Remember, recovery is a process and process may not always be linear. It is important to celebrate even the smallest victories on the way. How do you imagine your life when you have accepted your imperfect points and find the liberation from the addiction?",positive,0.324,0.5266666666666666,,
"Yes, that's just everything. Continuous work pressure, the list of things to do never ends, the weight of responsibility. I was immersed in all.",It seems you are carrying a burden. How do you feel when you have too many things on your plate?,neutral,0.0,0.0,,
"Thanks for understanding. Well, I was asked a great job opportunity, and while I should be excited, my anxiety overwhelmed. I seem to be unable to escape negative thoughts and things if happening. It is too tolerant.","I heard it. It can be understood that feeling about such an important decision. Let's do this slowly and ponder it carefully. Sometimes, anxiety can obscure our ability to judge and make it difficult for us to see the panoramic picture. Can you tell me more about specific concerns or fears that hinder you?",positive,0.11499999999999999,0.52,,
"One of my main goals, is to honor the memories and heritage of our family members. I hope to find peace in my soul and help my family also find comfort. I believe that by nurturing the relationships and appreciating the love we have shared, we can gradually heal and eventually find joy in our memories.","Your goal is admirable. Honoring the memory of your loved one and seeking peace in yourself and your family can really change. Remember, healing takes time and essentials to be patient and kind to yourself and family members. Is there anything specific that you want to explore more in our lessons?",positive,0.48888888888888893,0.37777777777777777,,
"Well, I lost my job about a year ago and that was when things really started to go downhill. I feel so worthless and rejected. I could not stand the thought to face reality so I went to stimulant to ease the pain.",Losing jobs can deeply impact aware of one person's own value and identity. It can be understood that you will seek comfort in something that can temporarily soothe the pain. How does this abuse of addictive substances affect your daily relationships and life?,negative,-0.30000000000000004,0.55,,
"I believe that setting up clear boundaries and a specific time to communicate openly and honestly can benefit. By dismissing the annoyance and actively listening to each other, we can aim to narrow the gap and promote understanding.",It was a great starting point. Let's explore your own emotions and reactions in these difficult relationships. How do you often react when you feel unable to hear or misunderstand?,neutral,0.03452380952380952,0.46904761904761905,,
I think reminding myself about that event and its feeling may act as a reminder that I have the ability to achieve my goals. It is important to remember that I have the potential to make a difference.,Sure. Connecting to past achievements and exploiting your potential can help turn your concentration from jealousy to confidence. Is there any other field in life that you want to make an effort to build confidence?,positive,0.2,1.0,,
"I haven't thought of that yet, but it seems it is a good idea. I will try.","Great! Finding support from your teacher is a positive step. Remember, seeking help is a sign of strength, not weakness. Is there anything else that worries you at school?",positive,0.7,0.6000000000000001,,
"Yes, I consulted some experts, but it seems that they all have different views on the steps to be made. Some suggestions for surgery, while others offered long -term medication. It was too much to make a decision when I was feeling depressed.","Absolutely understand when you feel overwhelmed by the opposite advice you receive. Making decisions about your health can be extremely difficult, especially without a clear consensus. Have you considered finding the second comment or consulting a reliable health care service supporter, can you help you overcome these options?",neutral,0.05000000000000001,0.39999999999999997,,
It was like there was some weight pulling me down and I seemed to be unable to shake it up. I used to find joy at work but now I can not even find motivation to get out of bed in the morning. It seems that all colors have been drained from my life.,That sounds extremely difficult. Losing someone or something important to us can really affect the ability to find joy in our daily activities. Can you tell me more about the specific loss that you are sad?,neutral,0.04814814814814816,0.32962962962962966,,
Therapy for the couple has fleeting in my head. I believe it can help us improve communication and understanding each other's needs. I want to find a way to regain the relationship that we have and strengthen our relationship.,"Discovering the couple may be a valuable step. It can bring a safe space for both you and your husband to express your concerns and find the common point. Remember, conflict is a natural part of any relationship and with the right guidance, they may be an opportunity to develop and understand. How do you imagine your relationship with friends and husband after these conflicts are resolved?",negative,-0.125,0.375,,
"Yes, growing up, my family expected me very much. They always motivate me to become excellent in learning and in every aspect of life. Although their intention is good, that makes me feel like I need to constantly prove myself worthy of their love and approval.",It seems that the pressure to meet the expectations of the family are weighing on you. How does this affect your self -awareness?,positive,0.38476190476190475,0.599047619047619,,
Actually I have not thought about that. Inviting a neutral third party can help create conditions for an effective conversation and bring a new perspective. Perhaps it will create a safe space for both of us to express our feelings without falling into the pattern blaming.,It is a great idea. The mediator or advisor can give instructions and help both sides express emotions more effectively. It may be an opportunity to rebuild each other's trust and understand each other's views. Are you ready to propose this to your friends?,positive,0.24727272727272726,0.3709090909090909,,
"Well, everything started when I started using addictive substances as a way to get rid of my problem. At first, it seemed like a temporary solution but gradually it took my life. I realized that my relationships were facing difficulties and I was getting more and more away from my loved ones, which only adds to my loneliness.",A lot of courage need to acknowledge the impact of addiction to your life. It seems your addiction has become a barrier between you and your interested people. Have you tried to contact to receive support from your loved ones?,positive,0.325,0.6722222222222222,,
"I realized that when I was involved in creative activities, such as painting or writing, I felt like being empowered. Those moments allow me to express myself without looking for approval or confirmation from others. Perhaps I can combine more of this activity into my daily life.",Participating in creative activities sounds a great way to connect with your true self. It is important to have activities to remind us of our innate value beyond the opinion of others. How can you integrate these creative methods more consistently in your habit?,positive,0.25,0.5,,
"I am trying to practice deep breathing and count to ten before answering. It helps me cool down and think more clearly. However, I still find it difficult to keep calm in the hot.","It feels difficult to control your emotions when conflict is completely normal. Remember, you can rest and review the conversation when both are in a more calm state. Creating a supportive and understanding environment is essential to resolve conflicts in a healthy way.",neutral,0.09382716049382717,0.5358024691358025,,
I'm not sure. I always show courage and try to meet their expectations. I have not shared my true desire with them so it is difficult to predict their reaction. But what if they think I'm stupid to pursue this dream at this time?,"It is important to remember that true friendship can endure the challenge of time. Friends will really support you, even if they initially have a reserved. Have you thought about discussing your aspirations to a reliable friend or family member?",negative,-0.3,0.8847222222222222,NEGATIVE,0.9929854273796082
I will try. Deep breathing seems to be the first step to be done. I appreciate your guidance. Can I do anything else to reduce my anxiety in the social environment?,"Sure. Another effective strategy is to train compassion to yourself. Remind yourself that you are worried is normal and you are not alone in this struggle. Treat yourself with kindness and understanding, just like you treat a dear friend. Remember, you deserve to be loved and accepted, from others and from yourself.",neutral,0.09444444444444444,0.26666666666666666,,
"I am trying to combine more activities to take care of myself more in my habit. I started practicing mindfulness and meditation, which helped me soothe my racing thoughts. In addition, I also take the time to exercise regularly, this helps improve mood and reduce stress.",How wonderful! Participating in self -care activities can bring tremendous benefits. It is important for you to prioritize your health and set a boundary between work and personal life. Did you notice any changes in yourself since the implementation of these self -care strategies?,positive,0.3333333333333333,0.358974358974359,,
"You are right. I need to remind myself about that. I also neglected social life outside of work, which contributes to me feeling lonely. Do you have any suggestions on how to connect with friends and loved ones?","Absolute! Returning to loved ones is essential to combat loneliness. Why not schedule regular calls, meet coffee or plan a fun trip? Building an outside support network can make a significant difference to your overall health.",positive,0.1838095238095238,0.43047619047619057,POSITIVE,0.9936841130256653
"Thank. Your support means the whole world for me. I will continue to make efforts towards positive changes, both in controlling my anxiety and discovering new paths for better health. I am ready to reclaim my life and find the way ahead.","I believe in you. I believe that with your determination and willingness to try your new approaches, positive changes will be within reach. Remember to treat yourself well during this process and celebrate even the smallest victories. I'm here to cheer you and provide instructions whenever you need it.",positive,0.2527272727272727,0.48,,
"True. I struggled with both. There were nights when I was so tired, I couldn't sleep, there were nights I just wanted to sleep all day to avoid the truth. Regarding eating, I have no cravings at all or find myself switching to using unhealthy foods to temporarily reduce cravings.",Changes in sleep and taste are common symptoms of depression. It is important to remember that your own value is not determined by external achievements. You are a valuable person no matter what happens at work. Have you considered finding support from a therapist or adviser to overcome these emotions?,negative,-0.15000000000000002,0.6833333333333332,,
"I just felt very lonely and that made me miserable. I could not help but think that everyone around all deceived in life, seeking happiness in my hobbies and pleasures, and I was trapped here in a sad and never ending cycle.","Hello, I am, your therapist. I am here to listen and help you discover the feeling of loneliness and dissatisfaction that you are experiencing. I am curious, what makes you believe that others are deceiving in life?",negative,-0.22599999999999998,0.622,,
"I always feel guilty every time I spend time with myself, but now I understand that it is necessary. I want to get rid of this tensions and this constant sin.","You often feel inner protest when you prioritize yourself, but you deserve a full -hearted career without sacrificing your mental and physical health. By setting a boundary, assigning tasks and taking care of yourself, you can regain your health control. How does that work for you?",negative,-0.16666666666666666,0.7777777777777778,,
"In fact, there is something else. I always blamed myself for breaking up, thinking that I might not be good enough or I did something wrong. How can I stop feeling like that?","Blaming after breaking up is normal, especially when related to unfaithfulness. It is important to remember that you are not responsible for the choice or actions of others. It can be helpful if you challenge these negative thoughts and replace them with more positive and kind thoughts. Over time, you will learn how to recognize your values ​​and understand that the breakup does not reflect your human value. Remember, healing takes time, so be patient with yourself.",neutral,0.06666666666666665,0.6666666666666666,,
Thanks for your good words and advice. It makes sense to me. I will continue to discover new ways to nurture my healing process and remind myself that accepting pain and financial difficulties is good. I began to see that I could also find joy in this journey.,"Nothing. Remember, you are not alone in this. I am here to support you step by step and together, we will overcome this sad and financial challenge. Celebrate every small victory and know that brighter days are waiting for you.",positive,0.4227272727272727,0.34242424242424246,,
"Sometimes, I suddenly received these waves of anxiety. My heart began to beat fast and I felt uneasy. Like my body and mind always in a state of tension.","Anxiety can definitely be a common companion when we are physically and mentally exhausted. It seems that your body is trying to communicate with you, telling you that it's time to take a step back and prioritize taking care of yourself. What strategies did you have tried strategies to control stress and find a balance before?",neutral,0.1,0.55,NEGATIVE,0.9531804919242859
Thank. Your beliefs for me have great significance. I will follow your advice and contact my sister. Hope we can solve this problem together.,"I have faith in you. Remember, conflicts can lead to maturity and understanding when accessed by honesty and compassion. Please contact any time you need to talk.",positive,0.8,0.75,,
"I tried, but every time I mention it, she was silent or became defensive. It seems that she doesn't want to solve the problem.",It seems that there are some barriers in communication between you and your wife. Is there anything specific that you think is contributing to this gap?,neutral,0.0,0.1,,
Recently I feel really depressed. I think I might be depressed. Everything started when I broke up with my girlfriend.,I am sorry to hear that. It seems that you are experiencing a difficult time. Can you tell me more about what happened?,neutral,0.1,0.225,,
"We tried to talk after breaking up, but that seemed to only make things worse. As we are speaking different languages, we cannot really understand each other's pain. I just feel very lonely in this.","It may be extremely difficult to communicate interrupted, especially in such difficult times. It seems that there are many emotional connections between both of you. Have you considered finding support from friends or family?",neutral,-0.07583333333333332,0.6141666666666667,,
"Well, everything starts a few weeks before we disagree about where we will go on the annual holiday. We cannot agree on the destination and that leads to tension between us.",It can be a challenge when friends have different opinions. What happened next?,negative,-0.2,0.1,,
"I thought about that, but I was afraid that speaking could make things worse. I am afraid of the possible consequences - considered weak or incompetent. It was a difficult situation because I needed this job, but it affects my mental health. I feel trapped and helpless.","I can imagine how overwhelming the feeling of being stuck between wanting to solve these problems and fearing the possible consequences. It is important to prioritize your health. Is there anyone else, maybe a colleague or a reliable adviser that you can come to for assistance?",negative,-0.34722222222222227,0.6212962962962965,,
I think my main challenge now is to maintain patience. It is difficult not to be discouraged when my dream feels far away. But I know it is important to believe in the process and continue moving forward.,"The real patience can be a challenge, but the great things need time to show. Believe in the process and always commit to finally bring you closer to your dream. I believe in you and your ability to achieve it.",neutral,0.041666666666666664,0.8333333333333333,,
"It sounds a great plan. I really appreciate your support and instructions. I hope that with your help, I can start successfully this new journey and find the happiness and satisfaction I am looking for.","I believe in you. Remember, it is all a small step and always commits to take care of yourself. I am always with you during this process and I am very happy to see your maturity and transformation. Do you want to discuss anything else or have any questions for me?",positive,0.5172727272727272,0.510909090909091,,
"I have not directly solved my insecurities with my superiors, although we discussed my performance. I think I am afraid that recognizing my insecurity can make me weak or inferior.","It can be understood that you feel hesitant when you open your heart to your superiors. However, discussing your concern can help you better understand your strengths and fields to develop. Is there any support system other than work that you can ask for guidance or reassurance?",negative,-0.3416666666666666,0.6416666666666667,,
"I realize that my tension tends to rise in terms of work -related time and when I encounter conflicts in personal relationships. In addition, when I neglect myself like exercise and nutritious meals, my symptoms will become worse.","It is interesting that external tension factors and caring habits can affect our overall health. Have you considered finding professional assistance, such as consulting with health care providers or therapists?",negative,-0.13333333333333333,0.4333333333333333,,
I think the most challenging part is accepting that everything has passed and continues. I was afraid to be alone and started again without him. I am worried about finding happiness and love.,The transfer from a long -term to single relationship can certainly be scary. It is important to admit your fear and give yourself time to heal. Have you considered participating in self -care activities or seeking support from friends and family during this time?,positive,0.32,0.64,POSITIVE,0.9594687223434448
Thank. I appreciate your encouragement. It gives me hope that we can find a way to overcome this difficult time. I really want to find happiness and harmony in my relationship.,"I am very happy to hear that. Remember that resolving conflicts takes time and effort, but with the commitment and willingness to learn, you can definitely find solutions and create a stronger connection with your partner. Do you have anything else in your mind that you want to discuss?",positive,0.13333333333333333,0.4666666666666666,,
"Yes, I once helped a friend in a project, and they were really grateful. That made me feel respectful and appreciated.",Great! It is important to record moments that you can create a positive impact on others. How can we add those moments to your life?,positive,0.3,0.3333333333333333,,
It feels like being released. I can feel a hope that is rising in me. Imagine a life where I appreciate my value makes me full of joy and interest. It was like a burden to lift from my shoulders and finally I could breathe comfortably. I yearn for one day that I can look into the mirror and see the reflective image full of narcissism and acceptance.,Your words are filled with charm and love. I can feel your desire to develop and heal. Take some time to record the progress you have made. How are some cases where you have shown the ability to recover and strength in the journey to build your self -esteem?,positive,0.38,0.6199999999999999,,
"Yes, I thought about that, but I didn't know where to start. I used to like painting and playing records but I have let those hobbies fall in recent years. I guess I'm just afraid I'm not good enough or I won't find any joy in them anymore.","Absolutely normal if you feel a bit tired or uncertain when starting the old hobbies, especially after a long time of rest. Remember, the goal here is not perfect, but to find something that gives you joy. What will you be like when connecting to painting or playing guitar?",neutral,-0.02999999999999998,0.49000000000000005,,
I really don't know. Maybe avoid those children or try to stand up to protect themselves?,"Avoid situations or confronters with bullys that are potential strategies. Remember, it is essential to prioritize your safety and mental health. Maybe you should discover deeper strategies with a reliable adult, like your sister or school advisor. How will you feel when talking to an advisor?",positive,0.2,0.2,NEGATIVE,0.9992609620094299
"Yes, sure. I often have trouble sleeping because my mind is racing with concerns related to work. I woke up with a feeling of exhaustion, this only made me more stressful. Throughout the day, my muscles felt tense and I felt myself clenched in the jaw without realizing it. Like my body is always in a state of vigilance.","It is important to recognize the effect of stress related to work that can cause both our mind and body. Your symptoms are typical of anxiety you are experiencing. Let's explore some coping strategies together. Have you ever tried any relaxing techniques, such as deep breathing or meditation, to help control these physical symptoms?",neutral,0.07777777777777779,0.5814814814814815,,
"Thank. Your support means the whole world for me. I am ready to embark on the journey towards healing, hoping that one day I will find the harmony and acceptance that I have expected.","I am always here to support you on every journey. Together, we will guide this path to heal and guide you towards a brighter future. You are not alone in this.",positive,0.10000000000000002,0.43333333333333335,,
I believe that finding balance is essential. I want to have complete personal relationships while still pursuing my dream of becoming an artist. Perhaps there is some way for me to integrate both aspects of life.,It is a great view. It is important to discover the ways that you can harmonize your passion and relationships. How do you imagine how to achieve that balance?,positive,0.1375,0.4625,,
"Sometimes, I see others consider their friendship as obvious. It was uncomfortable to see how easy they could continue while I was left here with this sad sadness. It seems that they do not understand my deep pain.","It seems that you are longing for understanding and confirming from others, especially when it comes to your level of grief. Is there anything specific that you want people to understand what you are going through?",neutral,-0.09444444444444444,0.6222222222222222,,
I am ready to try anything at this time. I just want to find a little hope and happiness. I'm tired of this feeling.,"The willingness to explore new paths to treat your illness is admirable. It is necessary to have the courage to face our pain and seek to get rid of it. Together, we will make an effort to create a life that is successfully measured by development, recovery and acceptance of yourself. Remember, you are not alone in this journey. I am here with you every step of the road.",neutral,0.07812499999999997,0.475,,
I feel too overwhelmed and sad. It was like a burden on my chest that I couldn't seem to be shook.,Thank you for sharing. I am here to help you overcome these challenging emotions. Start by discovering what happened and it has contributed to how to create this overwhelming feeling. Can you tell me more about the source of your sadness?,negative,-0.5,1.0,,
You are right. I should believe that they will understand. Sometimes it is only difficult.,"That may be challenging, but trust is essential to build a solid foundation in any relationship. Believe that your partner attaches great importance to your honesty and vulnerability. It takes time to develop trust, so be patient with this process.",neutral,-0.07142857142857144,0.8452380952380952,,
